Complexity,Loss,Equation
1,0.045457646,"-0.5658647"
3,0.045453798,"-0.56585217 - Y_200"
5,0.044035476,"-0.55918556 - (Y_200 ^ c_gas)"
6,0.04393692,"-0.55843693 - (Y_200 ^ sin(c_gas))"
7,0.042038534,"-0.516483 - (Y_200 ^ (c_gas / 1.6861101))"
8,0.041892745,"-0.51200217 - (Y_200 ^ (sin(c_gas) * 0.5932527))"
9,0.041884895,"cos(exp(1.4225923 - ((Y_200 + Y_200) ^ c_gas)))"
11,0.041094583,"-0.40972567 - ((Y_200 ^ c_gas) ^ ((0.40759742 ^ c_Y) / 1.6872218))"
13,0.0410928,"-0.40972567 - (((Y_200 ^ c_gas) ^ ((0.40759742 ^ c_Y) / 1.6872218)) / 1.0058597)"
14,0.041054223,"(-0.38222066 - ((Y_200 ^ c_gas) ^ ((0.3783135 ^ c_Y) / 1.7680405))) + sin(Y_200)"
16,0.04098468,"sin((c_Y + (1.0835387 - Y_200)) * ((Y_200 + -0.26671743) - ((Y_200 ^ 0.44795263) ^ c_gas)))"
18,0.04098361,"sin((c_Y + (1.0835387 - Y_200)) * ((Y_200 + -0.26671743) - ((Y_200 ^ 0.44795263) ^ c_gas))) + Y_200"
