Complexity,Loss,Equation
1,0.045457646,"-0.5658653"
3,0.04545485,"-0.56585085 - Y69"
4,0.045449737,"-0.56596524 + inv(M_200)"
5,0.044085827,"(-0.044495657 / c_Y) - 0.48408"
7,0.035750363,"-1.3215563 * ((Y17 / Y69) ^ c_gas)"
9,0.033870917,"(((Y17 / Y69) ^ c_Y) * -0.996091) + -0.22935267"
11,0.030761328,"(((Y17 / (Y69 ^ 0.905828)) / 0.49322572) ^ c_gas) * -1.5959152"
13,0.029867968,"((Y17 / (Y69 ^ 0.89707476)) ^ (c_gas ^ (c_gas + 0.68787867))) * -2.0103192"
15,0.029865198,"((Y17 / (Y69 ^ 0.8970741)) ^ ((Y69 + c_gas) ^ (c_gas + 0.6878786))) * -2.0103192"
16,0.029856449,"-2.0103192 * ((Y17 / (Y69 ^ 0.89707476)) ^ ((c_gas ^ (0.68787867 + c_gas)) + inv(M_200)))"
17,0.029733207,"((Y17 / (Y69 ^ 0.8923887)) ^ ((c_gas - (Y17 / -0.003955542)) ^ (c_gas + 0.67953193))) * -2.0742965"
19,0.029701618,"-2.0703409 * ((Y17 / (Y69 ^ 0.8923887)) ^ ((c_gas + (Y17 / (0.0056349323 / 2.5868907))) ^ (0.67953193 + c_gas)))"
20,0.029425288,"((Y17 / inv(M_200 * -0.0071908436)) + ((Y17 / (Y69 ^ 0.89414793)) ^ (c_gas ^ (c_gas + 0.68070954)))) * -2.058012"
