Complexity,Loss,Equation
1,0.04835873,"-0.57572776"
3,0.047721297,"-0.51034856 - c_gas15"
4,0.04658913,"exp(c_gas15) * -0.5392093"
5,0.03683736,"(c_gas15 ^ c_gas) * -2.1917553"
7,0.031684823,"((c_gas15 ^ 0.3254911) * -0.6865557) / c_gas"
9,0.031183382,"(((c_gas15 ^ 0.4180987) / c_gas) * -0.99241537) + c_gas15"
11,0.031057214,"(c_gas15 + ((c_gas15 ^ 0.48556167) * -1.2070086)) / (c_gas + -0.049808234)"
13,0.030905668,"((-2.2479758 - c_Y15) * (c_gas15 ^ 0.18888693)) + ((c_gas15 + c_gas) * 1.4875637)"
14,0.030445434,"(((c_gas15 ^ (c_gas15 + 0.41712266)) - (log10(c_gas) * c_Y15)) * -0.94090056) / c_gas"
15,0.030347781,"(((c_gas15 ^ ((c_gas15 + 0.37378553) - (c_Y15 * 0.40303722))) * -1.0166566) / c_gas) - -0.1272142"
18,0.030342659,"(((c_gas15 ^ ((c_gas15 + 0.37378553) - (c_Y15 * 0.40303722))) * -1.0166566) / c_gas) - (-0.1272142 - inv(M_200))"
