Complexity,Loss,Equation
1,0.05885025,"0.96182156"
3,0.04805206,"Mstarfrac + 0.84281856"
4,0.047577318,"exp(Mstarfrac) + -0.1647353"
5,0.04499853,"Mstarfrac + (0.6613102 ^ c_gas)"
7,0.04294018,"Mstarfrac + ((Y_200 ^ 0.034045007) ^ c_gas)"
9,0.042149663,"(((Y_200 ^ 0.060028918) ^ c_gas) + 0.104873255) + Mstarfrac"
10,0.04164421,"(Mstarfrac - (c_gas * 0.589733)) + exp(Y_200 ^ 0.2019516)"
11,0.041433416,"((Y_200 ^ 0.1704941) + 0.95587313) + (Mstarfrac - (c_gas * 0.5696988))"
13,0.041205373,"((Mstarfrac - ((c_gas ^ 1.6433377) * 0.6163588)) + (Y_200 ^ 0.16641474)) + 0.8617196"
15,0.04114571,"(((Mstarfrac + 0.9037853) - (c_gas * 0.3918546)) ^ (c_gas - -0.6687222)) + (Y_200 ^ 0.17546426)"
16,0.04107484,"((Y_200 ^ 0.1825121) + ((Mstarfrac - (c_gas * 0.5001822)) + 0.94902813)) ^ (Mstarfrac - log10(Mstarfrac))"
17,0.04105148,"(Mstarfrac + (((Y_200 ^ 0.18088724) - (0.49854994 * c_gas)) + 0.9468165)) ^ (exp(-1.9957428) - log10(Mstarfrac))"
18,0.041024916,"(((Mstarfrac + 0.9471645) + (Y_200 ^ 0.18044977)) - (c_gas * 0.4984255)) ^ ((Mstarfrac - log10(Mstarfrac)) ^ 1.279264)"
19,0.04100189,"((((Mstarfrac + 0.8981768) - (c_gas * 0.35840833)) ^ (c_gas - -0.6750141)) + (Y_200 ^ 0.17858644)) ^ (1.1879251 - Mstarfrac)"
