Complexity,Loss,Equation
1,0.05320294,"0.94055605"
3,0.04637501,"1.4038296 - c_gas"
4,0.04431282,"inv(c_gas + 0.6066332)"
5,0.041542336,"Mstarfrac + (0.7345125 ^ c_y)"
7,0.03929374,"(Mstarfrac ^ c_y) + (Y_200 ^ 0.034353677)"
8,0.039213665,"((Y_200 ^ 0.05999467) + Mstarfrac) - log10(c_gas)"
9,0.037235852,"((Mstarfrac ^ c_gas) - -0.90151817) * (Y_200 ^ 0.024663629)"
11,0.03683017,"((Mstarfrac ^ c_gas) - -0.72270274) * ((Y_200 ^ 0.03403961) * 1.3012382)"
13,0.03647561,"(((Mstarfrac + (Mstarfrac ^ c_gas)) ^ c_gas) - -0.6993335) * (Y_200 ^ 0.03345078)"
15,0.036266044,"(((Mstarfrac + ((Mstarfrac ^ c_gas) ^ c_gas)) - -0.32412362) * (Y_200 ^ 0.051777463)) - -0.37195948"
17,0.036262255,"((((Mstarfrac ^ c_gas) ^ c_gas) + (Mstarfrac - -0.25665835)) * ((Y_200 + Y_200) ^ 0.05549401)) - -0.4112865"
19,0.036261585,"(((Y_200 + Y_200) ^ 0.05543117) * (Mstarfrac + (((Mstarfrac ^ c_gas) ^ c_gas) - -0.25665647))) - (Y_200 + -0.4112638)"
