Complexity,Loss,Equation
1,0.056763615,"1.0035136"
3,0.048045143,"1.4671339 - c_gas"
4,0.047698207,"0.76331526 - log10(c_y)"
5,0.04487964,"0.5127858 ^ (c_gas - 0.46385315)"
6,0.043238133,"exp((Y_200 ^ 0.06719486) - c_gas)"
7,0.042545162,"2.307571 ^ ((Y_200 ^ 0.0670292) - c_gas)"
8,0.04008904,"Mstarfrac + exp((Y_200 ^ 0.08942781) - c_gas)"
9,0.03979267,"2.2277856 ^ ((Y_200 ^ 0.088201314) + (Mstarfrac - c_gas))"
10,0.039529227,"(exp((Y_200 ^ 0.09459464) - c_gas) ^ 0.83806145) + Mstarfrac"
11,0.03937703,"(((Y_200 ^ 0.05097874) + Mstarfrac) + 0.70602894) - (c_gas / 1.2832215)"
12,0.038873967,"(0.99398965 ^ inv(Mstarfrac * c_gas)) + ((Y_200 ^ 0.045808855) - c_gas)"
14,0.03879485,"((0.99271303 ^ inv(c_gas * Mstarfrac)) + ((Y_200 ^ 0.0421789) - c_gas)) ^ 1.0507618"
16,0.038778834,"((Y_200 ^ 0.042181283) + (((Y_200 + 0.99269533) ^ inv(Mstarfrac * c_gas)) - c_gas)) ^ 1.0590363"
17,0.038720824,"(((0.99271303 ^ inv(Mstarfrac * c_gas)) + (Y_200 ^ 0.0421789)) - c_gas) ^ exp(Y_200 ^ 0.25649673)"
18,0.0387176,"((Y_200 ^ 0.063816376) + (((0.95300674 ^ inv(c_gas)) ^ (0.16169068 / Mstarfrac)) + 0.17336667)) - (c_gas * 1.06269)"
19,0.038714126,"(((Y_200 ^ 0.0421789) - c_gas) + (0.99271303 ^ inv(c_gas * Mstarfrac))) ^ exp((Y_200 + Y_200) ^ 0.25649673)"
